Complaint Type,Location Type,Street Name,Borough
Noise - Street/Sidewalk,Street/Sidewalk,WEST  156 STREET,MANHATTAN
Noise - Residential,Residential Building/House,MALCOLM X BOULEVARD,BROOKLYN
Noise - Residential,Residential Building/House,102 STREET,QUEENS
Noise - Residential,Residential Building/House,WEST  136 STREET,MANHATTAN
Noise - Residential,Residential Building/House,EAST   12 STREET,MANHATTAN
Noise - Residential,Residential Building/House,CLIFTON PLACE,BROOKLYN
Noise - Residential,Residential Building/House,ANDERSON AVENUE,BRONX
Noise - Residential,Residential Building/House,CHERRY STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,SAINT MARKS AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,MANHATTAN AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,KINGSLAND AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,WEST  140 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,TOMPKINS AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,LEFFERTS AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,EAST   16 STREET,BROOKLYN
Noise - Residential,Residential Building/House,CHRISTOPHER STREET,MANHATTAN
Broken Parking Meter,Street,KISSENA BOULEVARD,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,WASHINGTON AVENUE,BRONX
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,STATEN ISLAND
Noise - Street/Sidewalk,Street/Sidewalk,WASHINGTON AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,167TH STREET,Unspecified
Noise - Street/Sidewalk,Street/Sidewalk,WARREN STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,DEKALB AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,WEST  138 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,SOUTH    8 STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,ST MARKS AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,JACKSON STREET,BROOKLYN
Noise - Vehicle,Street/Sidewalk,DEKALB AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,SHERMAN AVENUE,MANHATTAN
Noise - Vehicle,Street/Sidewalk,105 AVENUE,QUEENS
DOF Property - Payment Issue,Property Address,nan,MANHATTAN
Noise - Vehicle,Street/Sidewalk,ELDERT LANE,Unspecified
Noise - Vehicle,Street/Sidewalk,ELDERT LANE,QUEENS
Noise - Vehicle,Street/Sidewalk,INDEPENDENCE AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WEST  161 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WEST  176 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,ECKFORD STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,EAST  169 STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,ROCKAWAY BOULEVARD,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,MADISON STREET,BROOKLYN
Noise - Vehicle,Street/Sidewalk,WEST  108 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,WALLACE AVENUE,BRONX
Noise - Vehicle,Street/Sidewalk,BROADWAY,MANHATTAN
